Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
Service,,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","50lbs.
51
52
53
54","$ 189.62
207.51
210.19
212.15
212.70","$ 158.62
176.51
179.19
181.15
181.70","$ 149.32
151.44
154.48
157.30
159.35","$ 122.81
129.81
138.69
139.58
140.19","$ 103.46
104.42
111.79
114.03
115.64","$ 93.02
100.44
102.74
106.70
107.29"
,"55
56
57
58
59","213.37
226.59
228.27
228.84
229.39","182.37
195.59
197.27
197.84
198.39","162.46
165.42
169.00
170.22
170.76","140.79
141.45
145.08
145.71
149.07","117.77
118.71
119.26
119.82
120.37","107.81
108.33
108.84
109.37
109.89"
,"60
61
62
63
64","229.96
240.34
242.73
243.35
253.98","198.96
209.34
211.73
212.35
222.98","171.73
172.26
172.82
183.86
190.25","150.03
150.56
151.11
155.10
160.43","120.93
121.48
122.03
122.58
130.27","111.87
114.75
116.61
117.91
120.77"
,"65
66
67
68
69","255.06
255.64
257.78
262.91
263.45","224.06
224.64
226.78
231.91
232.45","196.03
199.61
202.50
203.55
204.07","160.98
161.51
162.07
162.67
163.29","135.17
135.72
136.28
136.83
137.39","121.29
121.82
122.33
122.84
123.37"
,"70
71
72
73
74","264.02
270.67
272.20
272.76
273.34","233.02
239.67
241.20
241.76
242.34","214.12
218.21
218.75
219.70
220.56","163.82
167.54
173.00
173.55
174.25","137.94
146.32
147.16
147.66
148.17","126.40
126.98
129.97
130.48
130.99"
,"75
76
77
78
79","274.48
276.23
277.03
277.83
278.63","243.48
245.23
246.03
246.83
247.63","233.09
234.36
238.19
239.39
240.45","175.31
187.85
189.11
190.29
191.49","149.18
152.03
153.13
154.24
155.36","132.15
133.79
134.83
135.86
136.91"
,"80
81
82
83
84","279.64
299.76
301.78
302.93
304.04","248.64
268.76
270.78
271.93
273.04","241.60
242.65
258.80
260.42
261.48","192.55
193.63
195.05
199.74
202.25","156.47
161.89
163.46
165.66
166.78","137.95
138.98
143.93
144.97
146.01"
,"85
86
87
88
89","305.18
308.80
309.60
310.40
311.20","274.18
277.80
278.60
279.40
280.20","262.54
268.25
269.57
270.66
274.20","203.33
204.38
205.46
207.00
208.08","174.47
175.60
176.70
177.81
178.91","147.03
148.07
149.11
150.14
151.18"
,"90
91
92
93
94","312.00
312.80
313.60
314.40
315.20","281.00
281.80
282.60
283.40
284.20","275.00
275.80
276.60
277.40
278.20","209.38
210.56
211.74
212.94
215.44","180.04
181.14
182.25
183.36
184.48","151.98
157.94
158.97
160.29
161.45"
,"95
96
97
98
99","316.00
316.80
317.60
318.40
319.20","285.00
285.80
286.60
287.40
288.20","279.00
279.80
280.60
281.40
282.20","216.50
217.58
218.65
219.72
225.06","185.57
187.80
188.60
189.40
190.20","162.83
166.48
167.52
174.36
177.13"
,100,320.00,289.00,283.00,240.00,191.00,178.00
