Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
Service,,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","50lbs.
51
52
53
54","$ 569.55
593.62
633.52
637.51
638.10","$ 538.55
562.62
602.52
606.51
607.10","$ 521.40
547.30
586.77
591.51
592.09","$ 491.49
521.66
536.75
538.26
546.04","$ 417.20
430.51
462.70
465.93
466.52","$ 357.27
387.46
390.50
400.43
401.43"
,"55
56
57
58
59","649.53
650.68
651.19
652.87
685.85","618.53
619.68
620.19
621.87
654.85","592.61
601.21
602.08
603.75
636.81","547.07
548.94
549.44
556.17
569.42","467.09
467.68
477.12
478.07
484.02","401.99
402.57
410.62
417.33
425.01"
,"60
61
62
63
64","689.15
709.73
726.06
729.23
755.08","658.15
678.73
695.06
698.23
724.08","640.12
660.73
667.57
680.27
706.16","586.45
601.64
603.17
605.19
644.88","494.76
498.82
499.74
517.55
519.35","432.71
439.64
440.36
454.18
461.42"
,"65
66
67
68
69","763.22
764.73
765.24
769.50
783.60","732.22
733.73
734.24
738.50
752.60","714.33
715.83
716.34
720.62
724.39","653.64
655.89
664.78
670.77
672.85","519.90
520.82
521.38
521.95
523.73","472.40
482.42
483.43
503.48
505.49"
,"70
71
72
73
74","785.03
787.77
842.32
847.79
848.38","754.03
756.77
811.32
816.79
817.38","736.17
738.91
775.07
797.40
799.64","673.36
674.44
695.90
698.05
706.12","557.65
563.23
563.79
564.36
565.15","506.17
519.34
520.66
521.23
521.80"
,"75
76
77
78
79","849.41
850.21
851.01
851.81
852.61","818.41
819.21
820.01
820.81
821.61","800.69
801.49
802.29
803.79
804.59","715.38
726.51
727.98
730.26
766.66","580.81
589.87
608.04
651.33
655.68","523.22
551.25
554.06
556.64
561.84"
,"80
81
82
83
84","854.26
887.11
890.40
891.51
909.11","823.26
856.11
859.40
860.51
878.11","807.03
838.60
841.76
842.86
860.52","782.77
788.65
790.52
814.48
816.90","659.32
661.34
662.48
663.62
674.82","563.10
564.38
567.12
581.68
583.14"
,"85
86
87
88
89","910.88
911.92
913.26
917.61
1,004.33","879.88
880.92
882.26
886.61
973.33","862.29
863.32
864.27
869.02
951.78","817.95
818.98
820.01
824.14
826.02","675.97
677.04
681.60
686.88
688.01","604.88
607.06
608.69
609.84
610.98"
,"90
91
92
93
94","1,022.39
1,024.23
1,025.40
1,026.57
1,027.76","991.39
993.23
994.40
995.57
996.76","960.06
973.55
974.90
976.04
977.21","863.44
867.22
884.09
885.80
887.00","689.16
690.31
691.45
692.57
693.73","612.13
613.38
614.67
615.92
617.48"
,"95
96
97
98
99","1,028.95
1,030.00
1,031.30
1,033.67
1,080.89","997.95
999.00
1,000.30
1,002.67
1,049.89","978.38
979.41
980.68
983.00
1,029.30","888.21
893.70
896.29
920.99
924.06","699.90
701.02
715.77
732.54
774.04","648.49
672.59
675.01
676.35
696.34"
,100,"1,197.00","1,166.00","1,097.00",975.00,855.00,726.00
