Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
"FedEx®
Envelope",,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
up to 8 oz.,,$ 65.71,$ 34.71,$ 33.30,$ 27.21,$ 25.23,$ 22.95
FedEx® Pak,,*,*,*,*,*,*
Fed,,,,,,,
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","1lb.
2 lbs.
3
4
5","$ 73.31
73.87
77.77
82.02
82.45","$ 42.31
42.87
46.77
51.02
51.45","$ 38.55
41.12
44.68
48.20
49.06","$ 28.72
29.22
29.71
30.59
31.48","$ 25.23
26.26
26.68
27.50
28.33","$ 22.95
23.38
24.83
25.27
25.70"
,"6
7
8
9
10","89.98
90.74
91.00
91.27
91.81","58.98
59.74
60.00
60.27
60.81","51.78
53.45
56.26
58.19
58.48","32.86
34.25
35.64
37.52
39.31","29.55
30.79
32.03
33.67
33.96","27.78
28.23
29.29
29.54
29.83"
,"11
12
13
14
15","102.44
104.12
104.39
105.89
106.16","71.44
73.12
73.39
74.89
75.16","62.70
64.78
65.50
68.05
70.66","41.06
44.58
46.29
48.59
51.98","36.92
38.88
41.62
43.71
45.36","35.38
36.26
39.53
39.96
40.22"
,"16
17
18
19
20","111.04
115.64
116.32
116.87
117.31","80.04
84.64
85.32
85.87
86.31","72.16
73.71
78.09
80.18
81.68","54.45
54.84
58.51
58.88
59.18","46.43
47.85
49.45
51.42
53.19","42.64
42.90
46.80
48.00
48.26"
,"21
22
23
24
25","121.08
125.22
125.74
128.25
128.75","90.08
94.22
94.74
97.25
97.75","83.87
86.82
88.29
90.50
91.73","65.01
65.77
68.98
71.64
71.91","55.67
57.38
58.79
60.14
62.08","49.65
53.23
55.27
55.52
55.79"
,"26
27
28
29
30","134.75
135.36
137.54
138.08
138.57","103.75
104.36
106.54
107.08
107.57","91.99
96.16
96.59
98.45
102.94","74.10
75.32
77.16
81.09
83.53","63.95
65.99
68.11
69.88
70.15","60.99
62.97
64.87
65.13
65.38"
,"31
32
33
34
35","142.67
145.85
148.60
151.12
153.69","111.67
114.85
117.60
120.12
122.69","104.85
107.03
109.39
111.29
114.46","84.11
84.38
87.75
90.50
92.33","70.43
70.74
76.58
78.98
80.57","67.49
67.77
71.61
73.02
74.44"
,"36
37
38
39
40","158.77
159.30
159.60
160.11
160.43","127.77
128.30
128.60
129.11
129.43","115.17
115.45
117.48
120.47
125.92","95.41
95.73
99.35
102.08
102.82","81.83
83.35
84.75
87.44
87.71","76.56
76.97
77.57
77.82
78.28"
,"41
42
43
44
45","166.14
168.12
171.80
174.98
181.82","135.14
137.12
140.80
143.98
150.82","128.08
130.46
132.63
134.92
137.11","107.35
111.65
112.10
113.29
113.60","91.97
93.47
95.43
97.04
97.47","87.30
88.91
90.64
91.31
91.57"
,"46
47
48
49","185.95
188.18
188.46
188.72","154.95
157.18
157.46
157.72","139.19
142.17
144.25
146.44","113.90
118.90
121.27
121.54","100.48
100.80
102.90
103.17","91.82
92.08
92.34
92.59"
