Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
"FedEx®
Envelope",,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
up to 8 oz.,,$ 72.68,$ 41.68,$ 40.44,$ 29.48,$ 26.30,$ 23.42
FedEx® Pak,,*,*,*,*,*,*
Fed,,,,,,,
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","1lb.
2 lbs.
3
4
5","$ 93.71
94.09
100.97
102.44
102.87","$ 62.71
63.09
69.97
71.44
71.87","$ 53.04
56.76
60.03
63.65
64.20","$ 31.15
31.77
32.81
33.94
35.07","$ 26.30
27.59
28.48
29.48
30.43","$ 23.42
23.86
26.49
27.35
27.78"
,"6
7
8
9
10","111.39
115.59
116.01
116.59
117.71","80.39
84.59
85.01
85.59
86.71","73.81
77.02
79.24
82.66
85.00","36.38
41.13
44.50
47.92
49.56","31.62
34.65
37.81
39.47
42.09","30.28
33.19
35.13
35.39
35.64"
,"11
12
13
14
15","133.10
136.48
137.52
138.80
139.46","102.10
105.48
106.52
107.80
108.46","89.68
94.26
98.98
102.85
106.32","51.00
56.94
58.55
61.13
64.54","44.32
46.93
49.37
51.93
53.19","38.37
44.96
47.29
47.99
50.97"
,"16
17
18
19
20","152.44
153.74
154.41
154.68
155.22","121.44
122.74
123.41
123.68
124.22","107.40
110.95
112.20
116.97
120.42","66.72
68.67
72.51
72.91
76.02","54.96
56.60
58.46
60.07
62.66","52.58
54.23
55.94
57.55
58.29"
,"21
22
23
24
25","160.90
168.09
168.83
169.40
169.97","129.90
137.09
137.83
138.40
138.97","122.75
125.35
127.75
127.99
132.58","78.96
80.26
87.86
88.65
90.49","65.10
68.24
69.74
72.52
74.58","60.20
63.93
65.38
69.48
69.92"
,"26
27
28
29
30","181.00
182.12
182.64
183.41
183.70","150.00
151.12
151.64
152.41
152.70","136.33
140.09
143.73
144.10
148.03","92.96
96.93
97.34
97.63
103.37","76.63
78.87
81.46
82.98
85.23","73.43
75.57
75.88
77.73
79.85"
,"31
32
33
34
35","187.99
191.76
200.81
201.73
202.23","156.99
160.76
169.81
170.73
171.23","149.74
152.31
155.36
158.83
161.99","105.92
112.90
113.80
114.12
114.41","88.09
90.05
92.39
94.10
96.96","84.41
84.96
86.74
86.99
90.85"
,"36
37
38
39
40","205.59
217.30
218.48
218.97
219.47","174.59
186.30
187.48
187.97
188.47","165.45
167.68
171.06
171.40
171.60","120.07
120.64
123.79
124.19
127.45","99.09
100.52
102.04
104.74
107.52","92.86
93.53
93.97
94.38
94.81"
,"41
42
43
44
45","228.43
229.34
232.51
243.07
251.31","197.43
198.34
201.51
212.07
220.31","173.20
184.30
185.41
186.06
186.68","133.58
139.25
139.83
140.15
143.40","110.12
112.79
115.13
116.55
119.41","103.22
105.74
108.79
109.10
109.35"
,"46
47
48
49","252.16
255.37
255.84
256.11","221.16
224.37
224.84
225.11","199.06
203.15
207.17
211.30","152.27
153.17
153.44
156.90","120.74
121.01
125.89
126.39","109.62
109.88
110.13
110.36"
