Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
Service,,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","50lbs.
51
52
53
54","$ 503.34
543.94
562.78
564.67
565.21","$ 472.34
512.94
531.78
533.67
534.21","$ 454.93
494.68
506.30
515.05
515.93","$ 452.73
479.91
486.38
487.04
487.64","$ 391.89
412.28
418.55
419.19
420.10","$ 253.88
263.67
294.99
298.16
298.82"
,"55
56
57
58
59","566.53
581.24
583.76
595.06
596.21","535.53
550.24
552.76
564.06
565.21","516.80
531.98
534.50
545.84
546.99","488.16
488.67
489.40
489.93
491.17","438.08
439.90
454.22
459.49
465.21","299.58
314.52
316.02
325.97
326.98"
,"60
61
62
63
64","597.36
620.30
622.71
625.44
643.85","566.36
589.30
591.71
594.44
612.85","548.15
571.13
573.54
576.28
594.72","514.34
516.67
519.45
570.83
580.62","472.36
479.06
480.11
497.42
499.16","327.86
328.69
345.07
355.86
361.44"
,"65
66
67
68
69","647.70
666.60
668.49
669.06
670.09","616.70
635.60
637.49
638.06
639.09","598.57
617.52
619.42
619.98
621.00","592.91
598.10
598.69
599.23
605.33","499.70
500.57
501.12
501.67
503.38","362.06
364.56
365.19
365.82
366.46"
,"70
71
72
73
74","670.63
671.82
693.30
695.46
696.00","639.63
640.82
662.30
664.46
665.00","621.55
622.74
635.22
645.89
646.96","605.94
616.85
618.55
624.99
625.64","529.82
532.47
541.52
542.43
543.19","367.08
367.71
368.34
368.97
369.61"
,"75
76
77
78
79","697.07
702.76
729.95
745.54
747.11","666.07
671.76
698.95
714.54
716.11","648.05
653.74
680.99
699.28
701.11","626.68
627.72
628.77
642.54
669.12","558.23
566.96
584.30
586.04
589.17","370.86
372.13
373.36
374.65
375.89"
,"80
81
82
83
84","749.56
798.55
803.45
804.52
805.62","718.56
767.55
772.45
773.52
774.62","703.56
750.00
754.65
755.71
756.82","671.79
674.50
728.31
739.72
740.87","621.24
624.46
625.64
635.52
642.32","377.17
381.67
409.41
433.21
435.61"
,"85
86
87
88
89","806.66
808.11
811.59
813.58
853.30","775.66
777.11
780.59
782.58
822.30","757.85
759.32
762.80
764.80
804.60","744.68
745.73
746.77
748.23
749.40","643.51
644.68
645.85
647.04
655.02","436.86
438.13
439.39
440.66
442.02"
,"90
91
92
93
94","863.59
864.63
865.67
866.70
867.73","832.59
833.63
834.67
835.70
836.73","814.90
815.94
816.99
817.79
819.04","750.57
751.75
752.92
754.12
755.29","661.81
662.99
664.17
665.34
666.53","443.17
444.42
445.69
446.94
448.21"
,"95
96
97
98
99","868.81
875.00
883.43
888.57
921.68","837.81
844.00
852.43
857.57
890.68","820.12
826.33
827.13
840.75
872.79","778.21
818.53
826.89
831.65
862.54","668.55
673.79
687.97
704.06
716.17","450.06
486.05
489.66
490.93
512.83"
,100,925.00,894.00,876.00,871.00,727.00,568.00
