Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
Service,,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","50lbs.
51
52
53
54","$ 540.79
582.56
607.68
624.50
626.19","$ 509.79
551.56
576.68
593.50
595.19","$ 492.53
536.56
548.33
552.32
564.72","$ 481.84
508.26
517.15
524.75
525.51","$ 409.01
422.06
452.17
456.79
457.36","$ 312.33
316.03
316.60
317.26
330.34"
,"55
56
57
58
59","637.13
638.23
639.02
640.67
642.37","606.13
607.23
608.02
609.67
611.37","580.94
589.07
589.89
591.53
593.23","536.34
538.17
538.66
545.26
558.24","457.93
458.49
467.75
468.69
474.52","331.66
333.22
364.24
367.36
373.12"
,"60
61
62
63
64","676.23
696.40
705.92
715.53
727.91","645.23
665.40
674.92
684.53
696.91","627.19
647.38
649.40
666.56
678.95","574.94
580.45
586.26
593.32
617.16","485.05
489.03
489.94
507.39
509.15","373.76
385.90
392.54
398.84
405.14"
,"65
66
67
68
69","738.70
739.80
740.32
740.83
741.34","707.70
708.80
709.32
709.83
710.34","680.19
681.16
690.91
691.89
692.29","640.66
643.02
651.74
657.54
659.31","509.70
510.59
511.15
511.71
513.46","411.41
417.01
417.67
418.28
419.20"
,"70
71
72
73
74","742.85
772.91
805.20
808.44
808.95","711.85
741.91
774.20
777.44
777.95","693.32
713.84
742.86
758.58
760.16","660.15
661.21
682.24
684.35
692.26","546.71
552.16
552.71
553.28
554.06","437.11
447.95
452.81
453.42
454.06"
,"75
76
77
78
79","810.00
830.56
832.64
833.68
836.01","779.00
799.56
801.64
802.68
805.01","761.19
770.80
783.63
784.92
788.81","701.35
705.02
706.08
707.45
734.77","569.40
578.30
596.11
606.79
642.79","455.33
466.90
468.16
469.46
470.71"
,"80
81
82
83
84","837.65
870.27
873.54
874.63
891.85","806.65
839.27
842.54
843.63
860.85","790.83
821.77
824.87
825.96
843.22","767.41
773.18
775.01
795.67
797.75","646.39
648.37
649.49
650.60
661.58","471.98
474.08
514.35
518.39
519.65"
,"85
86
87
88
89","893.59
894.63
895.95
899.25
965.16","862.59
863.63
864.95
868.25
934.16","844.95
846.00
847.32
850.63
915.84","799.13
800.18
801.21
807.98
809.77","662.70
663.74
668.22
673.40
674.50","520.93
522.19
526.50
527.65
528.93"
,"90
91
92
93
94","1,001.13
1,004.74
1,005.78
1,007.04
1,008.19","970.13
973.74
974.78
976.04
977.19","940.80
943.30
944.10
944.90
946.49","830.03
849.40
866.67
868.41
869.60","675.64
676.77
677.88
678.99
680.12","530.33
531.48
532.73
534.00
535.29"
,"95
96
97
98
99","1,009.25
1,010.27
1,011.29
1,013.63
1,060.29","978.25
979.27
980.29
982.63
1,029.29","947.29
948.51
949.31
952.16
1,009.10","870.78
876.17
878.70
902.92
905.94","686.16
687.27
701.73
718.15
750.47","536.56
537.81
539.11
540.93
577.27"
,100,"1,126.00","1,095.00","1,052.00",947.00,830.00,639.00
