Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
"FedEx®
Envelope",,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
up to 8 oz.,,$ 88.35,$ 57.35,$ 54.59,$ 40.85,$ 40.01,$ 34.16
FedEx® Pak,,*,*,*,*,*,*
Fed,,,,,,,
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","1lb.
2 lbs.
3
4
5","$ 124.59
129.30
148.31
154.81
155.96","$ 93.59
98.30
117.31
123.81
124.96","$ 84.01
96.37
103.36
116.03
119.73","$ 46.49
51.44
59.10
68.30
76.27","$ 40.01
45.11
51.83
59.88
66.89","$ 34.16
36.43
42.35
44.55
50.56"
,"6
7
8
9
10","178.46
184.53
191.76
192.49
194.73","147.46
153.53
160.76
161.49
163.73","135.37
145.00
154.78
158.32
160.51","86.40
95.42
105.94
116.98
122.62","74.36
83.64
92.55
96.41
107.51","59.39
62.67
68.80
71.04
75.44"
,"11
12
13
14
15","239.22
248.04
248.93
249.22
250.59","208.22
217.04
217.93
218.22
219.59","185.64
194.70
202.61
210.45
214.33","124.62
145.29
151.90
161.19
172.89","116.05
119.69
133.18
135.30
148.81","83.65
88.84
90.82
95.44
100.62"
,"16
17
18
19
20","277.98
280.73
281.03
281.26
282.04","246.98
249.73
250.03
250.26
251.04","225.48
230.72
235.79
241.12
242.62","180.48
185.15
196.42
203.62
206.96","155.34
162.34
169.07
175.24
181.48","104.85
109.06
112.97
116.77
121.12"
,"21
22
23
24
25","297.38
299.26
320.90
323.07
328.75","266.38
268.26
289.90
292.07
297.75","261.14
263.00
273.30
275.85
279.67","218.34
225.48
233.62
237.61
250.00","182.11
194.05
201.07
208.41
215.19","126.89
131.32
136.72
141.22
145.21"
,"26
27
28
29
30","350.69
352.89
360.56
361.33
362.76","319.69
321.89
329.56
330.33
331.76","303.38
306.89
309.13
309.42
313.79","258.51
267.28
274.13
276.28
283.83","222.49
230.03
235.91
242.27
248.91","149.72
153.66
167.53
172.47
177.96"
,"31
32
33
34
35","391.09
393.93
400.40
401.06
401.72","360.09
362.93
369.40
370.06
370.72","338.39
345.10
348.28
352.25
352.91","295.81
304.47
312.61
322.06
325.65","254.60
262.06
269.09
277.23
285.55","187.03
187.96
193.43
196.58
196.92"
,"36
37
38
39
40","414.70
433.39
439.84
440.49
441.64","383.70
402.39
408.84
409.49
410.64","365.94
384.70
391.19
391.85
393.00","334.37
343.43
357.77
367.54
375.88","293.22
301.19
308.86
316.34
323.52","197.69
212.53
217.01
222.14
222.67"
,"41
42
43
44
45","464.36
466.64
474.57
482.32
483.12","433.36
435.64
443.57
451.32
452.12","411.88
418.09
422.02
433.47
434.62","384.37
385.32
393.41
409.65
417.12","330.83
337.92
345.87
352.61
359.03","231.04
236.00
240.75
245.11
245.55"
,"46
47
48
49","498.77
500.89
501.11
501.31","467.77
469.89
470.11
470.31","450.32
452.52
452.74
452.94","423.65
424.43
440.02
447.64","365.10
365.76
378.86
385.30","252.13
252.79
253.16
253.39"
