Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
"FedEx®
Envelope",,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
up to 8 oz.,,$ 87.22,$ 56.22,$ 53.51,$ 35.97,$ 33.31,$ 29.88
FedEx® Pak,,*,*,*,*,*,*
Fed,,,,,,,
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","1lb.
2 lbs.
3
4
5","$ 119.90
126.45
140.09
150.46
151.53","$ 88.90
95.45
109.09
119.46
120.53","$ 77.51
87.44
96.87
105.18
115.43","$ 40.93
43.63
48.05
56.12
62.31","$ 33.31
36.19
39.85
46.52
51.70","$ 29.88
30.41
33.73
37.91
39.46"
,"6
7
8
9
10","171.97
178.91
184.66
185.24
187.39","140.97
147.91
153.66
154.24
156.39","121.92
133.74
141.05
151.21
153.32","68.06
74.35
81.14
87.11
93.04","56.44
61.69
67.30
72.25
77.17","46.49
47.40
50.96
53.02
56.99"
,"11
12
13
14
15","230.39
239.83
244.46
244.93
246.28","199.39
208.83
213.46
213.93
215.28","171.51
179.34
187.66
195.60
203.48","93.66
106.04
111.38
117.81
122.36","82.52
87.18
92.41
97.73
101.51","60.24
69.78
71.12
75.36
78.63"
,"16
17
18
19
20","273.13
275.82
276.11
276.35
276.84","242.13
244.82
245.11
245.35
245.84","209.01
217.80
222.30
227.00
235.76","126.36
134.93
139.56
145.27
149.24","104.81
109.85
113.64
118.28
123.79","84.29
85.09
88.27
91.49
95.29"
,"21
22
23
24
25","286.31
293.71
306.22
317.33
318.45","255.31
262.71
275.22
286.33
287.45","243.51
256.37
265.07
265.94
269.32","157.19
161.59
166.21
172.67
178.63","127.97
131.58
135.33
140.58
145.41","95.68
101.71
104.67
108.60
112.34"
,"26
27
28
29
30","333.04
334.50
348.86
350.30
353.11","302.04
303.50
317.86
319.30
322.11","286.30
288.50
296.73
298.46
301.24","184.44
190.98
195.48
200.16
206.72","150.18
155.49
159.19
162.98
168.30","116.00
122.24
122.90
126.09
130.02"
,"31
32
33
34
35","367.49
368.93
391.53
393.80
394.21","336.49
337.93
360.53
362.80
363.21","315.55
320.00
330.71
339.87
345.37","211.35
212.44
221.08
224.60
225.41","172.08
176.24
180.00
186.30
189.99","135.92
136.51
140.26
143.66
147.27"
,"36
37
38
39
40","401.54
414.08
421.06
426.26
426.78","370.54
383.08
390.06
395.26
395.78","349.41
358.98
371.05
373.87
378.07","233.67
234.52
234.83
239.78
259.91","193.89
198.90
202.92
206.96
211.63","147.79
154.07
157.72
161.18
162.64"
,"41
42
43
44
45","436.90
443.11
454.16
465.73
470.03","405.90
412.11
423.16
434.73
439.03","384.59
394.47
401.73
413.23
421.50","261.93
270.31
274.83
279.69
283.60","215.51
220.06
223.73
227.72
230.88","168.44
172.77
175.97
179.60
183.53"
,"46
47
48
49","482.02
483.79
487.06
487.39","451.02
452.79
456.06
456.39","433.52
434.73
434.94
439.08","287.90
291.92
296.23
296.67","233.24
233.54
233.83
234.09","190.09
190.76
197.08
197.72"
