Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
Service,,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","50lbs.
51
52
53
54","$ 257.38
282.59
295.76
297.09
297.65","$ 226.38
251.59
264.76
266.09
266.65","$ 214.39
214.79
222.01
222.74
231.15","$ 167.61
169.92
176.09
176.71
180.67","$ 126.66
127.21
134.04
136.76
138.42","$ 110.88
121.15
122.84
130.77
131.59"
,"55
56
57
58
59","302.27
317.47
320.34
321.56
322.13","271.27
286.47
289.34
290.56
291.13","232.00
240.03
245.09
250.73
257.15","181.22
181.77
182.34
182.90
183.77","138.97
139.52
145.52
146.14
147.01","132.10
132.62
133.13
133.65
134.25"
,"60
61
62
63
64","322.70
332.99
342.33
343.31
353.20","291.70
301.99
311.33
312.31
322.20","262.88
267.80
271.64
277.02
278.17","194.05
195.10
195.76
202.70
204.99","147.56
148.13
148.67
149.22
152.15","138.59
142.47
143.02
143.54
146.34"
,"65
66
67
68
69","355.36
356.26
373.97
375.96
376.52","324.36
325.26
342.97
344.96
345.52","286.77
287.66
299.02
304.56
309.55","205.60
210.13
211.86
213.44
214.09","156.18
156.73
159.87
161.15
164.72","150.22
150.75
153.77
155.01
158.17"
,"70
71
72
73
74","377.11
377.66
387.85
395.30
396.05","346.11
346.66
356.85
364.30
365.05","315.99
321.01
325.99
333.32
334.09","225.30
226.43
226.98
227.56
228.11","179.54
181.96
182.51
183.09
183.64","162.61
163.18
163.75
164.31
164.88"
,"75
76
77
78
79","397.22
407.38
408.40
409.20
410.00","366.22
376.38
377.40
378.20
379.00","342.34
343.53
344.68
360.45
362.03","229.54
230.65
231.77
232.97
234.20","184.75
185.84
186.96
188.06
189.17","166.03
167.15
168.31
169.64
170.68"
,"80
81
82
83
84","410.80
419.70
420.60
421.40
422.20","379.80
388.70
389.60
390.40
391.20","372.35
379.27
380.07
382.40
383.20","235.41
236.62
256.12
259.35
260.48","189.97
191.29
192.29
195.31
196.43","171.71
174.57
181.88
183.02
188.94"
,"85
86
87
88
89","423.00
423.80
424.60
425.40
426.20","392.00
392.80
393.60
394.40
395.20","384.00
384.80
385.60
386.40
387.20","261.59
262.69
263.91
265.25
266.36","200.90
207.09
208.18
209.32
210.42","193.24
194.93
200.26
201.06
201.86"
,"90
91
92
93
94","427.00
427.80
428.60
429.40
430.20","396.00
396.80
397.60
398.40
399.20","388.00
388.80
389.60
390.40
391.20","272.66
273.77
274.88
276.00
277.11","211.52
212.63
213.74
214.84
215.97","202.66
204.53
205.60
206.66
207.73"
,"95
96
97
98
99","431.00
431.80
432.60
433.40
434.20","400.00
400.80
401.60
402.40
403.20","392.00
392.80
393.60
394.40
395.20","278.84
279.95
281.32
282.43
283.56","217.07
218.07
219.29
220.09
221.52","208.81
209.77
210.93
212.02
213.08"
,100,435.00,404.00,396.00,301.00,239.00,229.00
