Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
Service,,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","50lbs.
51
52
53
54","$ 449.41
482.61
515.01
518.25
518.77","$ 418.41
451.61
484.01
487.25
487.77","$ 400.14
417.73
454.61
458.30
469.16","$ 211.28
214.73
219.59
230.81
231.95","$ 162.80
166.41
171.75
174.17
176.89","$ 145.27
155.03
156.01
158.30
158.88"
,"55
56
57
58
59","522.31
522.83
523.75
524.35
536.08","491.31
491.83
492.75
493.35
505.08","472.68
473.20
474.13
474.73
486.48","232.52
233.08
233.64
234.21
239.27","178.44
178.99
184.48
185.03
191.43","163.88
164.46
168.57
169.16
169.72"
,"60
61
62
63
64","537.26
557.63
565.64
570.45
570.97","506.26
526.63
534.64
539.45
539.97","487.66
508.07
510.12
520.40
521.43","240.28
240.84
246.04
246.76
255.97","192.51
193.06
193.63
194.19
194.75","170.28
179.31
182.16
182.75
183.30"
,"65
66
67
68
69","575.61
591.79
600.24
601.09
601.67","544.61
560.79
569.24
570.09
570.67","526.10
545.79
551.09
551.62
552.20","262.39
268.04
268.66
269.29
269.99","195.30
197.49
197.99
203.49
204.05","187.86
189.96
190.44
195.74
196.27"
,"70
71
72
73
74","602.19
604.04
640.97
644.67
645.26","571.19
573.04
609.97
613.67
614.26","552.71
554.58
591.58
595.29
595.86","278.93
279.83
285.78
292.01
292.64","211.19
211.92
212.46
213.50
214.04","200.92
201.50
203.11
203.70
204.27"
,"75
76
77
78
79","646.29
649.58
652.10
663.84
665.02","615.29
618.58
621.10
632.84
634.02","596.91
600.21
602.74
617.54
619.02","293.77
294.90
296.02
297.15
298.26","215.15
216.26
220.68
224.93
226.03","205.41
206.54
207.68
208.83
209.96"
,"80
81
82
83
84","666.57
697.39
700.92
701.98
703.07","635.57
666.39
669.92
670.98
672.07","620.56
648.10
650.86
652.71
653.81","299.40
300.52
319.27
321.17
322.28","227.14
228.24
229.36
230.47
233.90","211.21
212.24
220.59
221.68
224.98"
,"85
86
87
88
89","704.15
706.08
730.31
732.74
754.79","673.15
675.08
699.31
701.74
723.79","654.89
656.81
681.10
683.55
702.48","324.22
325.45
326.98
328.10
329.21","245.87
247.09
248.18
249.29
250.40","228.95
229.75
230.55
231.35
232.15"
,"90
91
92
93
94","757.00
757.80
758.60
759.40
760.20","726.00
726.80
727.60
728.40
729.20","710.18
711.80
712.60
713.40
714.20","330.34
331.56
350.37
352.26
362.34","251.52
252.61
253.72
254.83
255.96","232.95
242.99
244.04
245.13
246.20"
,"95
96
97
98
99","761.00
761.80
762.60
763.40
764.20","730.00
730.80
731.60
732.40
733.20","715.00
715.80
716.60
717.40
718.20","363.48
364.61
365.71
366.84
368.34","257.06
264.41
270.80
271.90
278.32","247.27
254.34
260.47
261.54
267.70"
,100,765.00,734.00,719.00,395.00,308.00,294.00
