Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
Service,,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","50lbs.
51
52
53
54","$ 489.60
533.77
543.62
553.71
554.73","$ 458.60
502.77
512.62
522.71
523.73","$ 441.13
477.59
487.34
503.79
505.44","$ 302.00
312.82
313.93
314.66
329.11","$ 234.54
243.39
256.78
258.67
259.28","$ 198.09
205.48
206.22
217.68
221.73"
,"55
56
57
58
59","556.02
570.43
571.88
572.40
580.55","525.02
539.43
540.88
541.40
549.55","506.66
521.16
522.61
523.12
531.30","330.57
331.45
347.68
349.31
349.99","259.87
260.62
275.33
276.82
277.43","225.00
229.08
232.60
236.25
239.22"
,"60
61
62
63
64","581.38
597.32
604.35
605.17
621.28","550.38
566.32
573.35
574.17
590.28","532.13
548.08
549.68
555.97
572.10","363.27
364.62
365.33
379.50
380.93","285.16
285.95
286.55
292.47
293.07","239.84
247.97
251.38
255.32
258.73"
,"65
66
67
68
69","627.71
646.30
648.17
655.79
657.54","596.71
615.30
617.17
624.79
626.54","578.56
597.19
599.06
606.69
608.44","381.48
387.24
387.86
388.52
389.15","300.85
301.64
302.23
302.83
304.15","261.44
262.06
262.69
272.74
273.76"
,"70
71
72
73
74","658.07
659.20
680.30
682.42
682.95","627.07
628.20
649.30
651.42
651.95","608.99
610.10
622.76
632.86
633.88","389.78
390.41
391.06
391.67
392.32","329.94
332.54
333.13
338.61
339.20","280.68
283.06
286.99
288.22
288.85"
,"75
76
77
78
79","684.00
689.58
710.65
723.07
724.32","653.00
658.58
679.65
692.07
693.32","634.96
640.55
661.65
676.80
678.32","393.59
400.10
420.87
423.71
455.84","346.04
348.53
349.73
366.49
368.18","290.13
291.37
292.64
293.89
295.17"
,"80
81
82
83
84","727.05
781.47
786.92
787.99
789.06","696.05
750.47
755.92
756.99
758.06","680.92
732.86
738.06
739.13
740.21","459.07
460.17
469.54
470.82
472.09","369.38
370.57
371.75
372.96
374.15","296.41
297.80
320.12
323.57
324.85"
,"85
86
87
88
89","790.13
792.87
796.27
797.94
831.14","759.13
761.87
765.27
766.94
800.14","741.28
744.03
747.43
749.10
771.37","481.88
483.59
511.95
514.81
516.07","389.44
390.98
392.18
393.38
394.55","336.61
337.88
339.14
339.94
340.74"
,"90
91
92
93
94","835.82
836.84
837.87
838.90
839.93","804.82
805.84
806.87
807.90
808.93","775.98
787.93
789.13
790.16
791.20","517.33
518.62
519.89
521.16
522.45","395.76
396.95
398.14
399.33
400.52","341.54
344.16
345.44
346.71
347.96"
,"95
96
97
98
99","845.74
851.19
857.94
860.23
901.91","814.74
820.19
826.94
829.23
870.91","793.54
802.47
803.37
805.68
851.87","523.72
524.99
526.20
527.33
530.29","401.74
408.83
410.02
411.22
435.16","349.22
350.48
351.75
352.99
367.22"
,100,907.00,876.00,858.00,586.00,458.00,406.00
