Delivery commitment3,col_1,Next day by 8 or 8:30 a.m.4,Next day by 10:30 a.m. or 11 a.m. 5,Next day by 5 p.m.6,2nd day by 10:30 a.m. or 11 a.m.5,2nd day by 5 p.m.6,3rd day by 5 p.m.6
"FedEx®
Envelope",,"FedEx
First
Overnight®","FedEx
Priority
Overnight®","FedEx
Standard
Overnight®","FedEx
2Day® A.M.","FedEx
2Day®","FedEx
Express
Saver®"
up to 8 oz.,,$ 97.62,$ 66.62,$ 62.56,$ 46.52,$ 43.54,$ 39.86
FedEx® Pak,,*,*,*,*,*,*
Fed,,,,,,,
".sbl
ni
thgiew
mumixam
/
gnigakcap
rehto
lla
ni
stnempihS","1lb.
2 lbs.
3
4
5","$ 137.55
153.02
164.39
176.16
177.36","$ 106.55
122.02
133.39
145.16
146.36","$ 95.35
110.55
120.84
132.30
135.21","$ 50.70
60.23
70.38
80.09
91.12","$ 43.54
52.69
60.45
68.81
78.29","$ 39.86
46.30
52.29
59.82
67.10"
,"6
7
8
9
10","200.69
212.30
217.94
218.52
220.17","169.69
181.30
186.94
187.52
189.17","150.71
162.56
171.12
183.84
185.46","99.82
109.96
120.98
132.81
142.65","83.66
90.45
103.93
114.08
123.41","76.31
79.48
86.79
98.57
106.27"
,"11
12
13
14
15","252.89
257.56
277.66
279.68
280.96","221.89
226.56
246.66
248.68
249.96","204.59
215.52
225.91
237.11
245.05","143.90
166.37
172.87
178.27
184.72","133.71
134.74
151.26
152.92
165.23","113.88
120.34
127.65
134.26
141.83"
,"16
17
18
19
20","306.24
308.78
309.04
309.29
310.68","275.24
277.78
278.04
278.29
279.68","252.26
257.64
262.05
271.34
272.47","192.53
208.19
213.32
228.71
230.25","172.24
180.24
181.05
197.14
204.48","148.15
154.80
160.04
165.86
172.93"
,"21
22
23
24
25","338.16
348.58
357.59
364.17
365.02","307.16
317.58
326.59
333.17
334.02","291.55
303.90
305.14
311.89
316.07","239.12
257.24
266.76
271.24
275.52","209.41
217.53
224.98
227.36
246.46","178.60
185.27
186.96
187.82
204.47"
,"26
27
28
29
30","381.67
391.24
406.44
408.41
409.13","350.67
360.24
375.44
377.41
378.13","329.64
345.24
354.28
356.25
360.34","293.52
295.34
299.06
304.67
308.60","253.25
261.21
267.53
275.50
282.47","210.70
217.24
224.23
231.21
237.83"
,"31
32
33
34
35","416.93
429.51
445.38
447.25
451.12","385.93
398.51
414.38
416.25
420.12","370.93
380.82
392.99
398.61
402.50","324.61
326.24
334.91
362.55
365.32","290.03
297.03
304.59
312.08
313.45","244.29
245.14
246.09
264.77
266.65"
,"36
37
38
39
40","460.04
474.60
476.07
477.41
484.99","429.04
443.60
445.07
446.41
453.99","407.58
425.74
427.56
431.41
432.39","370.21
370.71
372.23
402.35
405.37","321.54
336.61
345.79
354.78
362.62","278.30
279.47
280.01
290.57
301.07"
,"41
42
43
44
45","497.98
515.16
529.22
544.02
545.51","466.98
484.16
498.22
513.02
514.51","451.98
462.38
482.92
495.94
497.25","433.45
443.73
444.76
445.84
459.03","372.42
381.77
389.74
397.41
403.34","307.50
314.15
321.45
322.19
323.19"
,"46
47
48
49","565.42
567.42
567.74
568.00","534.42
536.42
536.74
537.00","512.39
514.47
514.68
515.00","468.46
469.42
470.90
482.08","412.04
412.92
416.20
416.53","343.01
345.01
354.77
355.76"
